sedra_num,heb_num,book,chap,verse
1,א,Psalms,1,1
2,ב,Psalms,11,7
3,ג,Psalms,20,10
4,ד,Psalms,29,11
5,ה,Psalms,35,28
6,ו,Psalms,41,14
7,ז,Psalms,49,19
8,ח,Psalms,57,12
9,ט,Psalms,67,8
10,י,Psalms,72,20
11,יא,Psalms,78,38
12,יב,Psalms,84,13
13,יג,Psalms,90,17
14,יד,Psalms,101,1
15,טו,Psalms,105,45
16,טז,Psalms,111,10
17,יז,Psalms,119,72
18,יח,Psalms,128,6
19,יט,Psalms,140,14
1,א,Proverbs,1,1
2,ב,Proverbs,5,18
3,ג,Proverbs,9,11
4,ד,Proverbs,14,4
5,ה,Proverbs,18,10
6,ו,Proverbs,22,21
7,ז,Proverbs,25,13
8,ח,Proverbs,28,16
1,א,Job,1,1
2,ב,Job,5,27
3,ג,Job,11,19
4,ד,Job,17,9
5,ה,Job,22,30
6,ו,Job,29,14
7,ז,Job,33,33
8,ח,Job,38,35
